TCID,Tytuł,Warunki wstępne,ID Kroku,Opis kroku,Oczekiwany rezultat
,,,3,Sprawdzenie jaki typ pliku został ściągnięty,Pobrany plik to jest archiwum zip.
21,"Aplikacja nie jest zainstalowana na komputerze, jest uruchamiana przez plik wykonawczy.",Pobrany plik z archiwum programu,1,Wypakować pliki programu z archiwum.,Pliki programu są widoczne w wybranym folderze
,,,2,Uruchomić plik wykonawczy .exe,Aplikacja się uruchomiła
,,,3,Sprawdzić czy aplikacja wymaga dodatkowej instalacji i się otworzyła.,"Aplikacja nie wymaga instalacji, okienko z aplikacją jest aktywne i gotowe do użytku."
22,Czas przełączania się między zadaniami w polu „Lista zadań” nie dłuższy niż 1 sekunda,"1.	Aplikacja uruchomiona na systemie Windows 7 lub Windows 8/8.1
2.	Zalogowany użytkownik",1,"1.        Uruchom aplikację MrBuggy 3
",Czas przełączenia między zadaniami nie dłuższy niż 1 sekunda
,,,2,2. Kliknij przycisk „Uruchom bez logowania” ,
,,,3,3. Kliknij przycisk „1” odpowiadający zadaniu numer 1. ,
,,,4,4. Kliknij przycisk „2” odpowiadający zadaniu numer 2.,
23,"Poprawne wyświetlanie nr zadania w polu ""nr zadania""",Uruchomiona aplikacja MrBuggy3,1,Wybierz zadanie z listy zadań,"W polu ""nr zadania"" pojawia się cyfra zgodna z numerem wybranego zadania"
24,Użycie przycisku „Zaraportuj defekt”, Zalogowanie w systemie,1,1. Wybierz zadanie 2.Znajdź defektu w zadaniu 3.Naciśnij przycisk „Zaraportuj defekt”,"Zostanie stworzona kopia zapasowa, Raport defektu zostanie wysłany do części serwerowej aplikacji"
25,Zablokowanie możliwości raportowania defektów w trybie członka drużyny,użytkownik jest poprawnie zalogowany do aplikacji jako członek drużyny,1,użytkownik próbuje w polu „raport” wpisać znaleziony błąd,pole „raport” jest „wyszarzone” – nieaktywne / lub nie jest „wyszarzone” ale po naciśnięciu „enter” raport nie zostaje zatwierdzony
26,Dzielenie w wersji demonstracyjnej,Aplikacja uruchomiona w wersji demonstracyjnej,1,1. Użytkownik wpisuję liczbę np. 9 i dzieli ją przez 0,Pojawia się liczba „0” – błąd (nie ma dzielenia przez 0).
27,Sprawdzenie poprawności nazw obiektów,"Użykownik zalogowany jest do aplikacji MrBuggy3
                 Użytkownik znajduje się na zakładce ""Zadania""",1,"Sprawdź, czy w lewym górnym rogu znajduje się opis bloku ""Zadania""","Poprawnie zapisane ""Zadania"" wyglądające, jak screen w załączeniu (sreen1)"
,,,2,"Sprawdź, czy w prawym górnym rogu znajduje się  opis bloku ""Opis zadania""","Poprawnie zapisane ""Opis zadania"" wyglądające, jak screen w załączeniu (sreen2)"
,,,3,"Sprawdź, czy po prawej znajduje się opis bloku ""Lista zadań""","Poprawnie zapisane ""Lista zadań"" wyglądające, jak screen w załączeniu (sreen3)"
,,,4,"Sprawdź, czy przyciski posiadają nazwy ""Poprzednie"", ""Następne"", ""Znalazłem defekt"", ""Zakończ"", ""Status połączenia""","Poprawnie nazwane przyciski ""Poprzednie"", ""Następne"", ""Znalazłem defekt"", ""Zakończ"", ""Status połączenia"" wyglądające, jak screen w załączeniu (sreen4)"
